,Restaurant,Location,Reviewer,Ratings,Review
17,L’Albatros,"11401 Bellflower RdCleveland, OH 44106",Jenn W.,5 star rating,"Love the patio every spring and summer here! Just went recently and great as always. Not sure why I ordered the leeks app but my husband liked his smoked salmon app. Our entrees were wonderful as always. He got the burger w all of the sauce and toppings and I got the special, a scampi w risotto and it was even better than expected. A great night! Oh and they had Mitchell's s'mores ice cream- should've gotten and extra scoop because it was divine."
18,L’Albatros,"11401 Bellflower RdCleveland, OH 44106",Joe C.,4 star rating,"L'Albatros is a wonderful restaurant with a great venue.  French in its nature, L'Albatros fits the stereotype and has great food but of little portion; however, whatever you order is going to be stellar.  "
19,L’Albatros,"11401 Bellflower RdCleveland, OH 44106",Christina M.,5 star rating,"I love this restaurant! We had an amazing server last night who was very attentive and provided us with great service. We split the Artichoke with Lemon Aioli appetizer and it was amazing! The artichoke was very tender. For my entree I had the Braised Lamb Shoulder which ended up being fore of a stew, but was to die for! Overall I would definitely recommend this restaurant if you are looking for some great food on a date night!"
0,Fat Cats,"2061 W 10th StCleveland, OH 44113",Annie M.,5 star rating,"Such a delightful and unexpected little surprise to happen upon Fat Cats while wandering aimlessly around Tremont.  As many others, because of Covid, my husband and I had not been out to eat at a restaurant in 84 days (!!!) but when we walked past Fat Cats and saw their shaded patio space with only one other couple outside, we knew we just had to have a seat and order some drinks and food."
1,Fat Cats,"2061 W 10th StCleveland, OH 44113",Anna H.,5 star rating,This is the second year we have stayed in the Airbnb above FC.  Last year we were not able to eat here due to the Indians game and it being Labor Day weekend (holiday closure).  Major disappointment for us to miss out.
2,Fat Cats,"2061 W 10th StCleveland, OH 44113",Jennifer R.,4 star rating,This was the best meal we had while in Cleveland for the weekend.  It's in an old Victorian house in the Tremont neighborhood and has been there for many years.  The parking lot is tiny and fills up fast.
3,Fat Cats,"2061 W 10th StCleveland, OH 44113",Sheena W.,4 star rating,This review is only for the special Easter Dinner that Fat Cats had. I have not tried anything from their regular menu yet. 
4,Fat Cats,"2061 W 10th StCleveland, OH 44113",Emily D.,5 star rating,I loved the tofu noodle salad! So fresh and delicious.
5,Fat Cats,"2061 W 10th StCleveland, OH 44113",Kevin N.,4 star rating,I tried out fat cats after looking for a new place in Tremont. 
6,Fat Cats,"2061 W 10th StCleveland, OH 44113",Anna W.,3 star rating,"Fat Cats is an eclectic styled restaurant with a rotational menu that includes fusion flavors from American, Italian, Asian, and other cuisines. I checked out the menu before arriving to the restaurant, and was intrigued at the variety of dishes offered-- ones ranging from a simple pizza to that of kimchi pancakes or a quinoa bowl. "
7,Fat Cats,"2061 W 10th StCleveland, OH 44113",Angela L.,3 star rating,"With all the great reviews, I was SO excited to finally be able to try this place. I went with a big group and some dishes were super tasty, and some were just not good. Ultimately, it was very inconsistent - hence the 3 star rating."
8,Fat Cats,"2061 W 10th StCleveland, OH 44113",Angelo M.,4 star rating,"Upon entrance, the wooded home-like restaurant smells as a great grandmother's basement--familiar, but not quite appealing. In all honesty, I was surprised not to see the chairs covered in plastic. "
9,Fat Cats,"2061 W 10th StCleveland, OH 44113",Mike K.,5 star rating,We have been to Fat Cats before and have never been disappointed. Food is fresh and inviting. Being in business for over 21 years speaks volumes of the quality of the food you get at Fat Cats. Plus the service is outstanding.
10,Fat Cats,"2061 W 10th StCleveland, OH 44113",Blanche K.,4 star rating,"3.5 stars (service 3, food 4 stars) "
11,Fat Cats,"2061 W 10th StCleveland, OH 44113",Leah L.,3 star rating,"Overall, I have a lot of mixed reviews about this place.  I came here for a friend's birthday with a large group.  We had a reservation and we were promptly seated outside.  It was a beautiful night and the outdoor patio is a really great place to sit when the weather is nice in Cleveland.  Also, the patio is dog-friendly which I love!!!"
12,Fat Cats,"2061 W 10th StCleveland, OH 44113",Mary D.,4 star rating,Don't be fooled by the name - this isn't your hole in the wall bar food grub kinda place. They have a sophisticated but approachable menu and a nice drink selection. You can make reservations and it's not a bad idea most nights. Their happy hour is worth checking out. Parking not usually too bad. Service always friendly. Prices are moderate.
13,Fat Cats,"2061 W 10th StCleveland, OH 44113",Bailey G.,3 star rating,"After reading some of the reviews, I expected an overall average experience, and that's what was delivered. "
14,Fat Cats,"2061 W 10th StCleveland, OH 44113",Paige D.,5 star rating,First timer! First off I absolutely love the fact that dogs are allowed on the patio. Our food was amazing(that Mac n cheese ). Unanimously we loved our server ! Brunch felt like brunch again 100% will be back
15,Fat Cats,"2061 W 10th StCleveland, OH 44113",Nicole G.,5 star rating,We went here for brunch.  The decor greats you with interest.... it reminded me of Grand Rapids Michigan.... there was industrial decor with art for sale....    they had long benches to seat multiple parties.  This isnt always the most comfortable but I prefer it to bistro chairs.
16,Fat Cats,"2061 W 10th StCleveland, OH 44113",Rena S.,5 star rating,"We love this place, especially their happy hour menu. We've tried many items on the menu, but the Pancit, Ban Bao steamed buns, macaroni and cheese, lumpia, and crispy chicken sandwich are all amazing. They used to have a melted cheese sandwich on their menu with tilamook cheddar and siciliano bread that was the best grilled cheese I've ever tasted. Every time we go, I ask for it, and even though it's not on their menu anymore, they are always willing to still make it for me. Their fries are delicious and skinny - almost like a haystack, and perfectly seasoned. You really can't go wrong with anything here but I would recommend reservations if you're going at a busy time, especially if it's cold outside. This place fills up quick and parking is quite limited."
17,Fat Cats,"2061 W 10th StCleveland, OH 44113",Maxamillon C.,4 star rating,Delicious food. Great outside patio. Super cute mirror inside for selfie taking. Went for happy hour where they have discounted food & drinks.  Such a nice little restaurant in tremount! The chicken sandwich was average & the salad was good. I'm not sure if I'll get the same thing next time I visit though.
18,Fat Cats,"2061 W 10th StCleveland, OH 44113",Jackie S.,4 star rating,"I am a huge sucker for homey restaurants like Fat Cats. It's a really busy brunch spot but by 3pm when I strolled in on a lazy Sunday, there were barely any customers."
19,Fat Cats,"2061 W 10th StCleveland, OH 44113",Payal M.,4 star rating,The components of every plate were very thoughtfully put together. We would go back for the kimchi potatoes alone! 
0,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Amy T.,5 star rating,"The best Italian food meal ever! We chose to eat outside, only 2 tables outside during COVID. Luckily we scored 1. While waiting for our food, we recieved fresh, soft bread with herbed butter. So yummy. I ordered eggplant parmesan. Afterwards I overheard the waitress tell the next table that the eggplant is cut nice and thin to make it extra crispy. Just how I like it. My boyfriend ordered appetizers. Caprese salad, roasted peppers, green salad, polenta, and pork belly. Everything was so good, but as he was eating the pork belly, he started,  ""It's so good, I want to cry."" I've never heard him say this before!!! Definitely eat here!"
1,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Elizabeth M.,5 star rating,One of my favorite places in Cleveland.  I felt they were following all covid protocols and felt very safe.  
2,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Valerie G.,5 star rating,"We had a fabulous meal here on June 26. Eggplant and hot sausage app, montepulciano wine 201, the squid ink pasta special, gelato and espresso. The food had so much flavor, was well balanced and I appreciated the use of fresh herbs and effort to make the pasta from scratch. The outdoor seating is lovely and the service was spot on. I've been to Italy many times and Mia Bella actually reminded me of Italian (not American Italian) food. I highly recommend dining here. They were also following all of the covid requirements for face shields etc."
3,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Sal P.,5 star rating,Delicious  
4,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Mark S.,5 star rating,On my weekly Sunday dinners with friends I've wound up at Mia Bella probably four times in the last two months. My big mistake was ordering their Veal Picatta
5,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Wende' F.,3 star rating,"We came on a Saturday night for dinner and it was very busy. They do take reservations but outside seating is first come, first serve. There is limited seating outside, but it's nice and on a chilly evening there are heaters. The staff is following COVID guidelines. They have face shields rather than masks. I ordered the chicken risotto. The dish was beautiful but the risotto desperately needed a dash of salt. We were able to enjoy our meal with wine-they have a great menu. Overall the food, drinks, and atmosphere was okay and I would return."
6,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Angela G.,5 star rating,My mom and I had the best dinner here Saturday evening. We made reservations ahead of time to sit inside because you can't make reservations for outside. We put our name in to request outside as soon as we got there and waited awhile for an outdoor table but it was worth it! I love the atmosphere of sitting on the sidewalk. Reminds me of actually being in Italy. 
7,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Connie C.,5 star rating,"Mia Bella has become one of my favorite restaurants. I have visited this restaurant many times since moving here and brought newcomers too. Till this day, the only way I can get my Northeast friends and family to visit is by promising to bring them to Mia Bella. I have tried many dishes here but my favorites have been pasta verde, cheese tortellini, shrimp saganaki, and of course, their complimentary pipin' hot bread and herbed butter."
8,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Anthony G.,5 star rating,"This restaurant has become a favorite in Little Italy and after dinner tonight it is clear why.  Enjoyed dinner on an outside table with friendly service and a bus boy that kept the waters full and table clear all night.   The cheese tray was amazing.   Great variety, texture, and flavor.   Fresh Italian bread was great.   My daughter had a pepperoni pizza which was hot, fresh, and very tasty.    I had the gnocchi and the flavor was excellent.   Everyone else enjoyed their tasty meals as well.  I would highly recommend this place for a nice dinner out.    We will be back."
9,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Kelly V.,5 star rating,Mia Bella is a family owned business. The owner Gerti takes care of his customers like family :)!
10,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Teresa C.,5 star rating,Had a lovely Thursday evening dinner at Mia Bella.
11,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Isabel H.,4 star rating,"I came here with my family while they were helping me move into Cleveland, and overall we enjoyed the food and experience. Though we wanted to sit outside because of Covid, there was a 20-30 min wait (no reservations for outside when we called ahead), so we ended up eating inside. Social distancing guidelines were maintained, and the servers wore face shields or masks. "
12,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Amby S.,5 star rating,I've been here twice and my husband and I love it. 
13,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Lee Ann P.,5 star rating,"Recently went here with my friend, and we both loved it. They take your temperature before you come in and require face masks until seated. Offering both in and outdoor seating currently. They have an extensive wine and cocktail menu. The food was amazing and we both enjoyed our cocktails. Probably the best Caesar salad I have ever had!"
14,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Emily W.,5 star rating,One of my favorite Italian spots in Cleveland! I haven't been back in a while since I've moved to chicago but recently got my parents a gift card for their anniversary and they were able to use it to eat on the patio and they enjoyed it!
15,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Meghan P.,5 star rating,"Cute, fancy looking place in Little Italy."
16,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Amanda V.,5 star rating,"The atmosphere is perfect for date night! The best drink by far is their espresso martinis. The food was really great and the sea food was really fresh. It does end up getting expensive, but it's completely worth it!"
17,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Jennifer C.,5 star rating,"I love Mia Bella. Simple as that. They have great service and even better food. I've tried their fettuccine carbonara with chicken, verde pasta with shrimp, and their bianco pasta with shrimp. All were very good, especially the bianco and carbonara. Super creamy and rich. Portions were large enough to have left overs too. "
18,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Emma P.,5 star rating,"A great  restaurant located in Little Italy. If you decided to check out Cleveland, Little Italy & this restaurant is a must! Parking is tight, so I would make sure to get there early to be able to find a spot. Also, there is not much seating so I would try to make a reservation."
19,Mia Bella Restaurant,"12200 Mayfield RdCleveland, OH 44106",Karen J.,4 star rating,"We were driving through Cleveland and found this restaurant on Yelp, looked good so we decided to stop. Very glad we did; excellent Italian food and well timed service. Good wine list as well. Loved the eggplant parm, offered as an appetizer but just the right amount for a lighter dinner. The bolognase was also excellent. Some thick cut, yummy warm Italian bread with herbed butter arrived first thing on the table, which I always appreciate. The interior is nicely decorated and there were quite a few tables outside on the sidewalk. Located in the Little Italy section, just a short walk up the street brings you to a lovely gelato bar for espresso and dessert."
0,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Lex L.,5 star rating,Carry out only during the rona.  Got the corned beef and pastrami and it did not disappoint.   Friendly staff.  Quick service.   Will return when back in area
1,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Bilal M.,5 star rating,"Slyman's is truly a Cleveland classic. This place has been here for years and continues to set the standard for Cleveland deli's. The corned beef is cooked to perfection and thinly shaved in dramatic portions onto Swiss cheese on Rye bread and then grilled. The result--simply the best sandwich in Cleveland. Complemented with thousand island dressing or mustard to your preference. Have been here 5+ times now and they continue to be consistently excellent. Most recently went during Covid precautions and can honestly say that they haven't missed a beat. Food was still exceptional. Obviously, the dining room is closed and takeout only. However, everyone is wearing a mask and gloves. They take social distancing and sanitation very seriously which is a real breath of fresh air. Recommend 5 stars without hesitation. Will continue coming back for more!!"
2,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Julia P.,5 star rating,"Really love this Cleveland classic spot. We try to come here when we are in town.  The atmosphere is friendly yet to the point, and the portions are serious!  I'm always a little reluctant to customize my order with something that I so classic as it is, but I don't like rye bread, and they are able to accommodate. The sandwiches are amazing, or maybe I should be giving credit to the corned beef. We have now even done a take out order, and that was delicious too."
3,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Jamel P.,5 star rating,Love this place..just had their rueben dog...it was so good!! I always make sure when family or friends from out of town come visit I take them to get a corned beef sandwich! Yhey love it too and can't never finish it lol!
4,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Leah L.,5 star rating,I. love. this. place.
5,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Ken W.,5 star rating,"They have an employee who works here who, even though he is a dishwasher should be the face of the restaurant in Independence Ohio..everytime I see him he makes me feel welcomed and having valus as a customer...wish more of the employees was like this young man...I am 88 years old and he has shown me much kindness..i believe his name is neil..sadly he had cancer and was gone fpr awhile..but he is back and in remission."
6,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Rhett D.,5 star rating,"No need to go into much detail on this review. The MEAT is LEGIT and the sandwiches are PHAT. A must try when in Cleveland. I prefer the primal location but the taste is  consistent, the experiences vary."
7,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Monica B.,5 star rating,"While in Cleveland, my friend took me to Slyman's as our first food stop of the trip. Parking was very easy on the street. Although it was early in the day, it was already hard to find a table and people were coming in to grab takeout. Service was efficient and friendly. The staff is clearly used to it being very busy. "
8,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Moe A.,4 star rating,This is the Katz deli of Ohio I suppose.
9,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Debra V.,5 star rating,"This met our expectations. We had heard positive comments. Walked in on a Monday at 11:30 and the place was half full, but it filled up. It's not very big, and Patrons are served quickly. The carry-out area was very active. We ordered a grilled Reuben. It wasn't as big as I thought it were be. The sandwich was just right size to share. The corned beef was moist and tender. The sauerkraut was just enough and the toasted rye was delicious.  You squirt on the Thousand Island dressing yourself, or squirt it on bite by bite. The fries were home cut and crispy, and unsalted. I ordered a coffee to go. Parking is on the street or in their small lot. Credit cards are accepted."
10,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",STEVE B.,4 star rating,Classic & historic - Slyman's has been slinging sandwiches for decades.
11,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Ashley R.,5 star rating,WOAH . I'm so mad that I haven't been here before!! I work right down the street ! 
12,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",DD N.,1 star rating,"This place is incredibly overrated, typical corn beef sandwiches that lack flavor but it's stacked really high. It's a simple case of quantity over quality that wins most people over."
13,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Jessica C.,5 star rating,You haven't had a corned-beef sandwich until you've had Slyman's! They pile their sandwiches high with meat. You definitely get your money's worth. Each sandwich is easily splittable between two people.
14,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Cameron Q.,4 star rating,"I got their Reuben and it was delicious and yummy. My only complaint was too much meat. I would love to more vegetables or sauerkraut in the Reuben. It was kinda overwhelming with the meat, but their meat was fresh and did not have any weird smell that cold meats tend to have. The bread was perfectly buttered.I'd love to try other dishes next time."
15,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Anita M.,5 star rating,Always my first stop when I come home to visit. Their corned beef sandwiches are legendary and never disappoint. The size of their sandwiches are huge. Some may be able to finish one at a sitting but they are two meals for me.
16,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Kristine P.,5 star rating,This place is to die for!!! It was so good. The corned beef sandwich was so lean and tasted amazing! You have to go!
17,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Mimi T.,5 star rating,The corned beef sandwiches are literally the BEST in town - and that includes the two popular deli restaurants on the east side of town... The term Mouth-Watering is the perfect way to describe SLYMAN's!!  If you love a thick C.B. sandwich to top all others - give SLYMAN's a try!
18,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Henry L.,5 star rating,"Hands down the best corned beef and reuben sandwich I've ever had. I was skeptical at first of a sandwich composed 95% of meat, but nothing about it got old as each bite was perfectly toasted, sliced, and packed with flavor - truly surprisingly balanced for how heavy of a flavor I was expecting. Friendly and quick service and love all the condiments that come on the table. Also recommend their wedding soup which was a great complement to the 2 giant sandwiches we got. Definitely lives up to its hype and is a place that has really perfected its craft."
19,Slyman’s Restaurant,"3106 Saint Clair Ave NECleveland, OH 44114",Alex H.,5 star rating,"The original and the best!!! I always take out of town friends here. I have only ever had the corned beef, because when something is so amazing, why bother with anything else!"
0,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Grant E.,5 star rating,"What a glorious little sandwich shop. First off, have to commend them for taking precautions and offering a smooth carryout service. The real star here is the shaved prime rib sandwich. The proportions of meat, topping and bread were just perfection for a balanced bite each time."
1,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Rachel H.,5 star rating,You really can't go wrong with a delicious sandwich anyway you stack it as long as it's made right with what's good you Soo know that your going to enjoy every bite of it!
2,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Logan B.,1 star rating,"Seriously one of my favorite neighborhood spots I've been frequenting for years, but today put an end to all of that. I called 45 minutes ahead for 3 sandwiches and when I showed up, was told they just started making them and it would be a few minutes. Cool, no big deal. I have a real friendly back and forth with the girl at the register, leave a 20% tip, and go wait in my car."
3,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Mark S.,5 star rating,"This hidden gem on Lorain and just around the corner was a great discovery. I've stopped by for the great sandwiches three times and was always happy I did. But don't take my word for it, HnT has limited availability and because of demand can run out of their great bread before the official closing time."
4,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Reese D.,5 star rating,"Herb and Twine is one of those places you drive a little out of your way to go to. Thankfully for me I was able to hit it right when it opened before it got crazy (one of those ""we're out when we sell out"" places) and saddled up with a smoked turkey club."
5,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Marissa S.,5 star rating,The turkey sandwich is a must have. Have nothing bad to say about this place besides that they tend to run out of bread really early and then close early so you have to really plan ahead. They should just make more bread. Make the people happy and make more delicious sandwiches!
6,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Iris S.,4 star rating,"Fantastic sandwich spot with ginormous, flavorful sandwiches as well as great salads"
7,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Marty K.,5 star rating,"Probably my favorite restaurant in Cleveland since I discovered this place a few years ago. Talk about craftsmanship, you can tell the owners of this places pour every ounce of their creativity into the food they serve. The menu rotated every season or so and each time they manage to exceed expectations."
8,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",J O.,5 star rating,First timer at herb n twine I was working across the street painting the new rabbit duck coffee shop and I was lucky to try this gem! I ordered the Italian it was very very good and a kale Cesar salad everything was very fresh and made with care. I am so coming here many more times!!! Thanks so much !
9,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Matthew Q.,1 star rating,"I have eaten here before and it was great.   Since then, the quality and taste of the food has gone down tremendously.  I can understand one bad meal but three in a row is a sign of a problem.  The staff was also rude the last time I was there."
10,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Aleatha H.,5 star rating,"I had Herb 'n Twine bookmarked for a year. Finally had a chance to try and it definitely lived up to its hype! I tried the Prime Rib sandwich and it was heavenly! Now mind you, this sandwich had been sitting for hours before I had a chance to eat it. It did not matter, the sandwich was perfect when I finally got around to it. The bread itself should win an award, it is amazing. The beef was seasoned unlike most roast beef/prime rib sandwiches. The portion was hearty and the ingredients were top notch. You definitely get what you pay for! I can't wait to go back."
11,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Wayne K.,5 star rating,"Best Sandwiches in CLE, hands down. Herb 'n Twine delivers the definition of artisanal sandwiches. Menu rotated often but the staples remain. You can't go wrong with the turkey club. Other favorites include the Italian and Chorizo Meatball subs."
12,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Kristin C.,5 star rating,"After my initial confusion of thinking that my friend was saying ""Urban Twine,"" we ended up having a great lunch! I was very impressed with the sandwich selection. The decor is modern and rustic at the same time. There's street parking if you're lucky. Very generous portions!"
13,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Zoe K.,5 star rating,"I am never dissatisfied with Herb 'n Twine!! Each time I visit I order a sandwich and the tomato bisque with extra of the blue cheese croutons (delightful!!). I enjoy the fact that their bread is freshly baked each day and their effort to use high quality ingredients. Their menu contains classic and unique sandwiches that are always delicious and I make an effort to try a new one each time I visit. The inside of the restaurant is also clean and provides some seating for those who are on a lunch break, although I have only ordered to-go. Definitely recommend to anyone looking for a new lunch spot to try!"
14,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Daniel W.,5 star rating,"One of my favorite sandwich shops in North America! Yeah I said it...The portions are huge, flavor combinations are complementary, and the bread is homemade/fresh. The homemade/fresh bread is such a game changer. My favorite is the Cubano...the perfect sandwich really. If there was a location in Chicago I would frequent weekly. "
15,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Melissa R.,5 star rating,I got the smoked turkey club and it was
16,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Isabel W.,5 star rating,Shaved prime rib sandwich was incredible and melted in my mouth! Cannot wait to go back again!
17,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Rika M.,5 star rating,Hands down the BEST turkey club in Cleveland. 
18,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Gina L.,5 star rating,"My husband and I went here for lunch to bring to the zoo this past Saturday. There is a limited menu of about ten sandwiches, two salads, and tomato bisque on their standard menu, that I believe they rotate through (according to my husband, a longtime devotee) but they have a special on the board as well. I got the special, which was a chicken sandwich with almond basil pesto, mozzarella cheese, bacon (got mine sans), mayo, and tomatoes. SOOOO good. Nice and warm and the chunks of chicken were huge. My husband got the grilled cheese, mostly because that was what I was eyeing as well, teehee, and it was awesome -- cheese and jam perfection."
19,Herb ‘n Twine,"4309 Lorain AveCleveland, OH 44113",Matt S.,5 star rating,"Well...what was said here about the prime rib sandwich was ABSOLUTELY TRUE!  It was amazing.  Tender, just the right amount of juice, meat loaded with flavor, and the bun didn't distract from the meat.  It came with a tasty pickle.  My wife had the Veggie Sandwich and for a lady who doesn't prefer beets, she enjoyed her sandwich.  They don't have fountain beverages but a cooler is fully stocked with Coke products, teas, water, and more.  The staff was very friendly and accommodating to our 'first-time visit' questions.  Not much seating so don't plan on eating and sitting around with friends; they need every table.  Before we left we decided to return and try other sandwiches.  Oh...the tomato soup was average, however, the croutons were AMAZING!"
0,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Angela G.,5 star rating,Favorite brewery I've been to in Cleveland so far honestly! I've seen the veggie sandwich on my Instagram feed for quite some time and I'm so happy I finally got to try it.
1,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Jackie C.,5 star rating,"Noble Beast is a staple for us- consistently good to great beers and the food is excellent. I fought the veggie sandwich (not literally... I refused to believe almond butter and aioli was a thing) but it's the best sandwich in town. Pre-COVID they typically had popcorn of some sort and it was always delicious although I have a particular love for the piggy popcorn (please bring it back someday). Most recently, I had the summer salad and it was also good- they just get flavors right here. "
2,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Taylor M.,5 star rating,"Let me tell ya, BIG FAN. I visited Noble Beast Brewing recently to catch up with some friends. I was impressed on a number of levels. 1) They had top notch COVID procedures. The tables were spaced well. The staff was great about maintaining distance, wearing masks and serving guests. At this time, walking up to the bar for ordering is not an option. And the bathrooms have a light up step peddle to limit one user in the whole bathroom at a time. Super unique and a great call in my option. 2) An amazing menu selection! Seriously, everything looked and sounded good. I personally got the pretzel and a Hazy Peach IPA. The honey mustard with the pretzel was very yummy and the IPA is definitely a new favorite. I'm a big hoppy fan, but the pairing with the peach mellows it out. But in a very good way. Come on beer people, back me up on this! 3) The NICEST staff. Enough said there. 4) Not to mention, the whole place is just adorable. You enter through a garage door to a fairly open concept despite the shape of the brewery. There's plenty of picnic table seating, high top options and it looked like there may have been a back patio too. There's plants dangling from the center of the brewery near the main bar. It's the perfect spot for gatherings or a small intimate setting too.  5) Good parking options! You're only human if you worry about parking like me. The meters out front are free after 6 p.m. and at a 2 hour limit prior."
3,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Chasen J.,5 star rating,"THE. BEER. WAS. AWESOME! First off, I feel like I need to give a shoutout to the beer that they had there, it was out of this world. I definitely would recommend the Evil Motives and Velocity Broker!"
4,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Jamie R.,4 star rating,Beer was delicious! I got the Greek chicken sandwich which was great too. Staff could be a little more attentive. Took quite a while for someone to come up to us.
5,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Amy M.,5 star rating,"Perfection! We went down the line and sampled every beer on tap. I have to say I enjoyed them all but my favorites were the Catchweight (Kolsch), the Styrian Wolf (IPA), and the Tiger Blood (Saison). Oh and the Evil Motives is FRICKIN WONDERFUL if you're an IPA fan (I'm usually not but Noble Beast may have changed my mind). "
6,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Crystal B.,4 star rating,"I ate here with my family for lunch. Everyone enjoyed what they ordered. I had the veggie sandwich and it was incredible. Definitely a spread of ingredients and flavors I would have never thought to put together, but it works and tasted AMAZING. "
7,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Becka D.,5 star rating,"I love this place!!!   Ordered online to support them during the pandemic and everything came packaged nice.  They are selling food, beer of course, and other provisions like toilet paper, bacon, coffee, and sausages ect.   Signs asking for social distance and there is an alcohol sanitizer at the register."
8,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Jennifer C.,4 star rating,Cute place with a small outdoor area in the back. We tried the zesty fries and their wings. All their wings were served with a side of celery seed mayo. 
9,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Stacy J.,5 star rating,Service: 5/5
10,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Travis M.,5 star rating,It was awesome! Had the Cleveland Corn Dog with a side of Cole slaw. Absolutely phenomenal food and I would highly recommend the fuzz bender beer. A must have if close to downtown Cleveland!
11,Noble Beast Brewing,"1470 Lakeside Ave ECleveland, OH 44114",Triandos M.,5 star rating,"Passing through the area, I heard about this place and I went to check it out. I'm so glad that I decided to stop in! I'm very wary lately with all thats going on, and they made me feel super safe like I was a part of the family that they actually care about!  Everything was perfect! Staff, food, drinks! I can't appreciate enough what they did for me and if I ever come through this way again, I will definitely make an effort to stop in and show love to this great establishment!"
